scenario,path,style,tag,x,y,width,height,parent_x,parent_y,parent_width,parent_height,font_px
LD6-E1-1280x800,fig/4/50,listbox,V02,65.536000,594.960000,612.032000,104.720000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/51,text,,694.336000,601.120000,159.296000,92.400000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E1-1280x800,fig/5,pushbutton,,1113.600000,744.000000,134.400000,35.200000,0.000000,0.000000,1280.000000,800.000000,14.000000
LD6-E1-1280x800,fig/6,text,,38.400000,716.000000,1203.200000,20.000000,0.000000,0.000000,1280.000000,800.000000,12.000000
LD6-E1-1280x800,fig/7,text,,902.400000,744.000000,192.000000,35.200000,0.000000,0.000000,1280.000000,800.000000,14.000000
LD6-E1-1280x800,fig/8,text,,38.400000,740.000000,832.000000,40.000000,0.000000,0.000000,1280.000000,800.000000,22.000000
LD6-E2-1280x800,fig/1,text,,32.000000,16.000000,1216.000000,28.000000,0.000000,0.000000,1280.000000,800.000000,12.000000
LD6-E2-1280x800,fig/2,text,,32.000000,44.000000,1216.000000,28.000000,0.000000,0.000000,1280.000000,800.000000,13.000000
LD6-E2-1280x800,fig/3,frame,,896.000000,96.000000,352.000000,616.000000,0.000000,0.000000,1280.000000,800.000000,14.000000
LD6-E2-1280x800,fig/3/1,pushbutton,B05,1064.960000,105.240000,158.400000,27.720000,896.000000,96.000000,352.000000,616.000000,12.000000
LD6-E2-1280x800,fig/3/2,pushbutton,,920.640000,105.240000,130.240000,27.720000,896.000000,96.000000,352.000000,616.000000,12.000000
LD6-E2-1280x800,fig/3/3,pushbutton,,920.640000,148.360000,302.720000,46.200000,896.000000,96.000000,352.000000,616.000000,15.000000
